Percentage,epoch,steps,cossim_accuracy,cossim_accuracy_threshold,cossim_f1,cossim_precision,cossim_recall,cossim_f1_threshold,cossim_ap,manhattan_accuracy,manhattan_accuracy_threshold,manhattan_f1,manhattan_precision,manhattan_recall,manhattan_f1_threshold,manhattan_ap,euclidean_accuracy,euclidean_accuracy_threshold,euclidean_f1,euclidean_precision,euclidean_recall,euclidean_f1_threshold,euclidean_ap,dot_accuracy,dot_accuracy_threshold,dot_f1,dot_precision,dot_recall,dot_f1_threshold,dot_ap
0.2,0,-1,0.717958552,0.81979382,0.696377549,0.575698128,0.88106982,0.726742625,0.677652164,0.717772966,172.3970337,0.692708333,0.578177866,0.863821574,201.1704712,0.674341552,0.718032787,7.761595726,0.692890877,0.582927288,0.853987317,9.010959625,0.674353071,0.684553047,123.3890457,0.676405091,0.542535076,0.897981067,104.3242493,0.621781414
,0,-1,0.721125889,0.795443773,0.702278698,0.58407853,0.880457094,0.725133836,0.682371028,0.722338385,143.4302063,0.702068417,0.590708474,0.865169572,162.2811279,0.682338686,0.722474482,6.522000313,0.701890056,0.588068476,0.870347109,7.412122726,0.681664736,0.67553356,80.32524872,0.673541963,0.538354331,0.899390337,66.40416718,0.597091119
,0,-1,0.7192824,0.79039681,0.704082265,0.591067937,0.870530927,0.74425447,0.679264926,0.719183421,140.9151154,0.702055512,0.587477816,0.872154652,160.9728546,0.676968826,0.719789669,6.472100258,0.701953933,0.589310976,0.867834932,7.273127556,0.676986715,0.683117847,82.05756378,0.680229442,0.5417802,0.913728133,68.6831665,0.613485487
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,0,-1,0.727312094,0.795866728,0.70918935,0.594442257,0.878833369,0.741683006,0.67842501,0.726903805,136.3165588,0.705462164,0.599828308,0.856254404,155.9063263,0.672825319,0.726557377,6.242420197,0.705623649,0.595788674,0.865108299,7.144903183,0.67251892,0.694401485,79.9364624,0.686754849,0.560363186,0.886768175,69.69054413,0.645418652
,0,-1,0.719888648,0.818273365,0.703617822,0.593193618,0.864556846,0.765623808,0.64795086,0.723043613,133.1416931,0.701997594,0.58965546,0.867222205,151.1934814,0.645303859,0.722808537,6.02493763,0.702689871,0.593291139,0.861554487,6.80901432,0.645177519,0.674580885,80.73913574,0.675365034,0.538507789,0.905486964,67.97450256,0.611767868
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0,-1,0.721558924,0.796905279,0.703356675,0.592750488,0.864710027,0.750590205,0.653583982,0.722957006,146.4012756,0.70100024,0.595797599,0.851321957,163.2868652,0.648598097,0.722808537,6.624359131,0.701118155,0.591501548,0.860604761,7.475287437,0.648619838,0.680494896,88.57666016,0.673332807,0.533020048,0.913911951,73.13845062,0.610440828
,0,-1,0.716956387,0.812309444,0.698602105,0.584476393,0.868110658,0.750931978,0.650328537,0.721930096,145.0956879,0.699455086,0.599409449,0.839588248,161.8592987,0.650321931,0.722227034,6.617994308,0.699787707,0.593067325,0.853343954,7.446694374,0.650381971,0.670287659,92.83091736,0.668638523,0.527068798,0.914187678,75.6499176,0.596220326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,0,-1,0.721249613,0.812218785,0.704286729,0.586467698,0.881345547,0.734650493,0.689587988,0.718156511,149.0944672,0.695457635,0.582898226,0.861891486,171.1571503,0.682599759,0.718874111,6.754508972,0.695578896,0.578342371,0.872430379,7.847612381,0.682639088,0.690541293,92.89260864,0.681529103,0.546154556,0.906130327,76.25914764,0.634135379
,0,-1,0.727695639,0.808437705,0.707388796,0.594444676,0.873318832,0.746417344,0.684421079,0.72857408,167.0361328,0.704647903,0.599342727,0.854845133,190.4633789,0.681044946,0.728648314,7.678883553,0.705063163,0.601584313,0.851536411,8.592733383,0.681057276,0.685988246,122.942627,0.679024547,0.54331954,0.905088692,100.9117813,0.616368191
